,Project Title,Project Description,Bid Opening,Result Date
0,"
                        Procurement of 5243-234CQZT00002 Procurement project of lithium-ion battery separator cutting equipment(2)
                    ",Procurement project of lithium-ion battery separator cutting equipm,2023-09-04 09:30,2023-09-11 23:59
1,"
                        Procurement of 3079-234HB2023110 Holmium laser procurement project of the First Affiliated Hospital of Harbin Medical University(1)
                    ",Holmium laser purchase 1 s,2023-09-06 09:00,2023-09-11 23:59
2,"
                        Procurement of 0768-2340CSIMC054 Offline planktonic bacteria counter procurement project(1)
                    ","Logistics transmission system, 1 s",2023-09-04 14:30,2023-09-11 23:59
3,"
                        Procurement of 4700-234A2023H025 Logistics transmission system procurement project of Lingang Hospital of Shanghai Sixth People's Hospital Phase II Expansion Project(1)
                    ",One six-high reversing finishing mil,2023-08-31 14:30,2023-09-11 23:59
4,"
                        Procurement of 0762-2341CBNB1004/01 Ningbo Second Hospital Procurement Medical Equipment Project(1)
                    ",Helicopter engine aviation materials and maintenanc,2023-08-31 09:30,2023-09-11 23:59
5,"
                        Procurement of 5068-234TZ2023019 Jiangcopper Group 15,000 tons of high-precision copper strip project six-roll reversible finishing mill procurement(1)
                    ","Implantable telemetry system,1 s",2023-09-05 15:00,2023-09-11 23:59
6,"
                        Procurement of 0762-2341CBNB1004/02 Ningbo Second Hospital Procurement Medical Equipment Project(1)
                    ",Ophthalmic surgery microscope:1 s,2023-02-08 14:30,
7,"
                        Procurement of 0808-2340GJF29017 Helicopter engine aviation materials and maintenance projects(2)
                    ",,,
8,"
                        Procurement of 3109-234Z20233052 Purchase Project of Implantable telemetry system of Shanghai Cancer Institute(1)
                    ",,,
9,"
                        Procurement of 0675-234JOC103024 Ophthalmic surgery microscope(1)
                    ",,,
