,Tender Title,Reference No,Closing Date,Bid Opening Date
0,1. Supply installation testing and commissioning of 1 no 110KLD STP 1 no 30KLD and 1 no 7KLD PLC based fully automatic MBBR technology based plant along with the entire piping network to connect all the toilet blocks and the related civil works at RTPS,DVC/TENDER/HQ/CIVIL/009,04-Oct-2023 12:00 PM,05-Oct-2023 12:00 PM
1,2. Engagement of user fee collection agency on the basis of CB through for Puraini FP at Km.79.304 for the section Nagina  Kashipur from km 71.614 to km 170.407 of NH 74 in Pradesh and Uttarakhand ,NHAI/13013/547/ CO/23-24/CB/Puraini FP ,19-Sep-2023 11:00 AM,20-Sep-2023 12:30 PM
2,3. Shifting of 400 Kv Meramundali JSPL DC Transmission line at 3 no location in CUTTACK ANGUL Section NH 55 from KM 60.000 to km 112.000 PKGII in the state of Odisha 2nd Call,NHAI/13012/106/RO/OD/2023,26-Sep-2023 03:00 PM,27-Sep-2023 03:30 PM
3,"4. Multiple Works Repair and renovation for Govt. accommodations allotted in various types and various location in South District ,New Delhi.",259-261/DPHCL/ENGG,26-Sep-2023 03:00 PM,27-Sep-2023 03:30 PM
4,5. E Tender for Two Smoking Lounge and sales Kiosk in DSHA/ISHA areas at Madurai Airport,AAI/MDU/COMML/ET/202324/04,28-Sep-2023 02:00 PM,29-Sep-2023 03:00 PM
5,"6. Multiple Works of Repair and Renovation for Govt. accommodations allotted quarter at various location in South District, New Delhi.",257-258/DPHCL/ENGG,11-Sep-2023 02:00 PM,12-Sep-2023 02:00 PM
6,7. E Tender for Comprehensive License for Meet and Greet Services Airport Entry Ticket and Trolley Advertisement cum Retrieval Facilities at Madurai Airport,AAI/MDU/COMML/ET/202324/03,11-Sep-2023 02:00 PM,12-Sep-2023 02:00 PM
7,"8. Multiple Works of Repair and Renovation for Govt. accommodations allotted quarter at various location in South-West, New Delhi.",252-256/DPHCL/ENGG,18-Sep-2023 03:00 PM,19-Sep-2023 03:00 PM
8,9. ABOVEGROUND GI INSTALLATIONS INCLUDING LAST MILE CONNECTIVITY AT CONSUMER END AT FIVE GAS AND GAJAPATI BOUDH AND SONEPUR CGD PROJECT 1.5 YEARS ARC,05/51/23V1-U999/GAIL Gas/001-ii-08,14-Sep-2023 01:00 PM,15-Sep-2023 01:00 PM
9,10. Electrical Work-CSPZ,MCD/TR/4446/2023_6_1_1/1,14-Sep-2023 01:00 PM,15-Sep-2023 01:00 PM
